Ball Plate ID and Orientation,P509-south
Inspector,Larry
Inspection Time,20211207T1548
Temperature,20.0°C
Serial No,
Material Ref,
Date,
Inspector,
Notes,
4,Pos S0,Position Cartesian,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,0.0000,0.0500,PASS
5,Pos S1,Position Cartesian,62.5000,37.5000,0.0000,62.4817,37.5163,0.0831,-0.0183,0.0163,0.0831,,,,0.1732,0.0500,FAIL
6,Pos S2,Position Cartesian,-63.5000,37.5000,0.0000,-63.4511,37.5163,0.0687,0.0489,0.0163,0.0687,,,,0.1718,0.0500,FAIL
7,Pos S3,Position Cartesian,-62.5000,-36.5000,0.0000,-62.4781,-36.4629,0.0833,0.0219,0.0371,0.0833,,,,0.1874,0.0500,FAIL
8,Pos S4,Position Cartesian,61.5000,-37.5000,0.0000,61.4431,-37.4648,0.0691,-0.0569,0.0352,0.0691,,,,0.1924,0.0500,FAIL
9,D0,Diameter,25.4000,,,25.3988,,,-0.0012,,,25.5000,25.3000,PASS,0.0075,0.0500,PASS
10,D1,Diameter,25.4000,,,25.4019,,,0.0019,,,25.5000,25.3000,PASS,0.0071,0.0500,PASS
11,D2,Diameter,25.4000,,,25.4024,,,0.0024,,,25.5000,25.3000,PASS,0.0050,0.0500,PASS
12,D3,Diameter,25.4000,,,25.4046,,,0.0046,,,25.5000,25.3000,PASS,0.0054,0.0500,PASS
13,D4,Diameter,25.4000,,,25.4029,,,0.0029,,,25.5000,25.3000,PASS,0.0087,0.0500,PASS
14,L01,Point Point Distance,72.8870,,,72.8796,,,-0.0074,,,72.9870,72.7870,PASS,,,
15,L02,Point Point Distance,73.7460,,,73.7124,,,-0.0336,,,73.8460,73.6460,PASS,,,
16,L03,Point Point Distance,72.3770,,,72.3399,,,-0.0371,,,72.4770,72.2770,PASS,,,
17,L04,Point Point Distance,72.0310,,,71.9644,,,-0.0666,,,72.1310,71.9310,PASS,,,
18,L14,Point Point Distance,75.0070,,,74.9883,,,-0.0187,,,75.1070,74.9070,PASS,,,
19,L23,Point Point Distance,74.0070,,,73.9856,,,-0.0214,,,74.1070,73.9070,PASS,,,
20,L12,Point Point Distance,126.0000,,,125.9327,,,-0.0673,,,126.1000,125.9000,PASS,,,
21,L34,Point Point Distance,124.0040,,,123.9253,,,-0.0787,,,124.1040,123.9040,PASS,,,
22,L13,Point Point Distance,145.2620,,,145.2167,,,-0.0453,,,145.3620,145.1620,PASS,,,
23,L24,Point Point Distance,145.7740,,,145.6733,,,-0.1007,,,145.8740,145.6740,FAIL,,,
