file,Ball Plate ID and Orientation,Inspector,Inspection Time,Temperature_°C,Pos S0_nominal_x,Pos S0_nominal_y,Pos S0_nominal_z,Pos S0_actual_x,Pos S0_actual_y,Pos S0_actual_z,Pos S0_error_x,Pos S0_error_y,Pos S0_error_z,Pos S1_nominal_x,Pos S1_nominal_y,Pos S1_nominal_z,Pos S1_actual_x,Pos S1_actual_y,Pos S1_actual_z,Pos S1_error_x,Pos S1_error_y,Pos S1_error_z,Pos S2_nominal_x,Pos S2_nominal_y,Pos S2_nominal_z,Pos S2_actual_x,Pos S2_actual_y,Pos S2_actual_z,Pos S2_error_x,Pos S2_error_y,Pos S2_error_z,Pos S3_nominal_x,Pos S3_nominal_y,Pos S3_nominal_z,Pos S3_actual_x,Pos S3_actual_y,Pos S3_actual_z,Pos S3_error_x,Pos S3_error_y,Pos S3_error_z,Pos S4_nominal_x,Pos S4_nominal_y,Pos S4_nominal_z,Pos S4_actual_x,Pos S4_actual_y,Pos S4_actual_z,Pos S4_error_x,Pos S4_error_y,Pos S4_error_z,diameter_D0_nominal,diameter_D0_actual,diameter_D0_error,diameter_D1_nominal,diameter_D1_actual,diameter_D1_error,diameter_D2_nominal,diameter_D2_actual,diameter_D2_error,diameter_D3_nominal,diameter_D3_actual,diameter_D3_error,diameter_D4_nominal,diameter_D4_actual,diameter_D4_error,pointpointdistance_L01_nominal,pointpointdistance_L01_actual,pointpointdistance_L01_error,pointpointdistance_L02_nominal,pointpointdistance_L02_actual,pointpointdistance_L02_error,pointpointdistance_L03_nominal,pointpointdistance_L03_actual,pointpointdistance_L03_error,pointpointdistance_L04_nominal,pointpointdistance_L04_actual,pointpointdistance_L04_error,pointpointdistance_L14_nominal,pointpointdistance_L14_actual,pointpointdistance_L14_error,pointpointdistance_L23_nominal,pointpointdistance_L23_actual,pointpointdistance_L23_error,pointpointdistance_L12_nominal,pointpointdistance_L12_actual,pointpointdistance_L12_error,pointpointdistance_L34_nominal,pointpointdistance_L34_actual,pointpointdistance_L34_error,pointpointdistance_L13_nominal,pointpointdistance_L13_actual,pointpointdistance_L13_error,pointpointdistance_L24_nominal,pointpointdistance_L24_actual,pointpointdistance_L24_error
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_4-20211207T045518.csv,P509-east,Larry,20211207T1651,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4832,37.5161,0.0823,-0.0168,0.0161,0.0823,-63.5000,37.5000,0.0000,-63.4514,37.5161,0.0679,0.0486,0.0161,0.0679,-62.5000,-36.5000,0.0000,-62.4786,-36.4615,0.0825,0.0214,0.0385,0.0825,61.5000,-37.5000,0.0000,61.4443,-37.4646,0.0684,-0.0557,0.0354,0.0684,25.4000,25.3982,-0.0018,25.4000,25.4026,0.0026,25.4000,25.4031,0.0031,25.4000,25.4052,0.0052,25.4000,25.4033,0.0033,72.8870,72.8808,-0.0062,73.7460,73.7126,-0.0334,72.3770,72.3397,-0.0373,72.0310,71.9653,-0.0657,75.0070,74.9879,-0.0191,74.0070,73.9840,-0.0230,126.0000,125.9346,-0.0654,124.0040,123.9270,-0.0770,145.2620,145.2176,-0.0444,145.7740,145.6745,-0.0995
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_4-20211207T053919.csv,P509-east,Larry,20211207T1735,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4841,37.5151,0.0828,-0.0159,0.0151,0.0828,-63.5000,37.5000,0.0000,-63.4508,37.5151,0.0688,0.0492,0.0151,0.0688,-62.5000,-36.5000,0.0000,-62.4789,-36.4618,0.0830,0.0211,0.0382,0.0830,61.5000,-37.5000,0.0000,61.4440,-37.4648,0.0693,-0.0560,0.0352,0.0693,25.4000,25.3990,-0.0010,25.4000,25.4028,0.0028,25.4000,25.4032,0.0032,25.4000,25.4049,0.0049,25.4000,25.4022,0.0022,72.8870,72.8811,-0.0059,73.7460,73.7115,-0.0345,72.3770,72.3400,-0.0370,72.0310,71.9651,-0.0659,75.0070,74.9871,-0.0199,74.0070,73.9832,-0.0238,126.0000,125.9349,-0.0651,124.0040,123.9269,-0.0771,145.2620,145.2182,-0.0438,145.7740,145.6732,-0.1008
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_5-20211207T041427.csv,P509-east,Larry,20211207T1611,20.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4832,37.5155,0.0831,-0.0168,0.0155,0.0831,-63.5000,37.5000,0.0000,-63.4521,37.5155,0.0685,0.0479,0.0155,0.0685,-62.5000,-36.5000,0.0000,-62.4789,-36.4617,0.0833,0.0211,0.0383,0.0833,61.5000,-37.5000,0.0000,61.4444,-37.4646,0.0689,-0.0556,0.0354,0.0689,25.4000,25.3989,-0.0011,25.4000,25.4022,0.0022,25.4000,25.4030,0.0030,25.4000,25.4044,0.0044,25.4000,25.4021,0.0021,72.8870,72.8805,-0.0065,73.7460,73.7129,-0.0331,72.3770,72.3400,-0.0370,72.0310,71.9654,-0.0656,75.0070,74.9873,-0.0197,74.0070,73.9837,-0.0233,126.0000,125.9353,-0.0647,124.0040,123.9274,-0.0766,145.2620,145.2176,-0.0444,145.7740,145.6748,-0.0992
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_5-20211207T045844.csv,P509-east,Larry,20211207T1655,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4839,37.5157,0.0829,-0.0161,0.0157,0.0829,-63.5000,37.5000,0.0000,-63.4514,37.5157,0.0687,0.0486,0.0157,0.0687,-62.5000,-36.5000,0.0000,-62.4783,-36.4619,0.0831,0.0217,0.0381,0.0831,61.5000,-37.5000,0.0000,61.4446,-37.4635,0.0692,-0.0554,0.0365,0.0692,25.4000,25.3990,-0.0010,25.4000,25.4035,0.0035,25.4000,25.4037,0.0037,25.4000,25.4051,0.0051,25.4000,25.4029,0.0029,72.8870,72.8812,-0.0058,73.7460,73.7123,-0.0337,72.3770,72.3396,-0.0374,72.0310,71.9650,-0.0660,75.0070,74.9864,-0.0206,74.0070,73.9840,-0.0230,126.0000,125.9352,-0.0648,124.0040,123.9270,-0.0770,145.2620,145.2179,-0.0441,145.7740,145.6739,-0.1001
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_5-20211207T054245.csv,P509-east,Larry,20211207T1739,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4836,37.5155,0.0829,-0.0164,0.0155,0.0829,-63.5000,37.5000,0.0000,-63.4508,37.5155,0.0685,0.0492,0.0155,0.0685,-62.5000,-36.5000,0.0000,-62.4790,-36.4619,0.0831,0.0210,0.0381,0.0831,61.5000,-37.5000,0.0000,61.4445,-37.4650,0.0690,-0.0555,0.0350,0.0690,25.4000,25.3992,-0.0008,25.4000,25.4032,0.0032,25.4000,25.4027,0.0027,25.4000,25.4043,0.0043,25.4000,25.4024,0.0024,72.8870,72.8809,-0.0061,73.7460,73.7118,-0.0342,72.3770,72.3402,-0.0368,72.0310,71.9657,-0.0653,75.0070,74.9877,-0.0193,74.0070,73.9838,-0.0232,126.0000,125.9344,-0.0656,124.0040,123.9276,-0.0764,145.2620,145.2182,-0.0438,145.7740,145.6740,-0.1000
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_6-20211207T041753.csv,P509-east,Larry,20211207T1614,20.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4829,37.5158,0.0829,-0.0171,0.0158,0.0829,-63.5000,37.5000,0.0000,-63.4524,37.5158,0.0685,0.0476,0.0158,0.0685,-62.5000,-36.5000,0.0000,-62.4787,-36.4618,0.0831,0.0213,0.0382,0.0831,61.5000,-37.5000,0.0000,61.4439,-37.4643,0.0690,-0.0561,0.0357,0.0690,25.4000,25.3990,-0.0010,25.4000,25.4034,0.0034,25.4000,25.4033,0.0033,25.4000,25.4051,0.0051,25.4000,25.4028,0.0028,72.8870,72.8804,-0.0066,73.7460,73.7133,-0.0327,72.3770,72.3399,-0.0371,72.0310,71.9648,-0.0662,75.0070,74.9873,-0.0197,74.0070,73.9840,-0.0230,126.0000,125.9353,-0.0647,124.0040,123.9267,-0.0773,145.2620,145.2174,-0.0446,145.7740,145.6747,-0.0993
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_6-20211207T050210.csv,P509-east,Larry,20211207T1658,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4828,37.5162,0.0828,-0.0172,0.0162,0.0828,-63.5000,37.5000,0.0000,-63.4517,37.5162,0.0686,0.0483,0.0162,0.0686,-62.5000,-36.5000,0.0000,-62.4796,-36.4613,0.0829,0.0204,0.0387,0.0829,61.5000,-37.5000,0.0000,61.4436,-37.4642,0.0691,-0.0564,0.0358,0.0691,25.4000,25.3989,-0.0011,25.4000,25.4040,0.0040,25.4000,25.4031,0.0031,25.4000,25.4043,0.0043,25.4000,25.4026,0.0026,72.8870,72.8805,-0.0065,73.7460,73.7129,-0.0331,72.3770,72.3404,-0.0366,72.0310,71.9645,-0.0665,75.0070,74.9876,-0.0194,74.0070,73.9839,-0.0231,126.0000,125.9345,-0.0655,124.0040,123.9273,-0.0767,145.2620,145.2180,-0.0440,145.7740,145.6740,-0.1000
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_6-20211207T054610.csv,P509-east,Larry,20211207T1742,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4837,37.5151,0.0822,-0.0163,0.0151,0.0822,-63.5000,37.5000,0.0000,-63.4511,37.5151,0.0680,0.0489,0.0151,0.0680,-62.5000,-36.5000,0.0000,-62.4787,-36.4623,0.0824,0.0213,0.0377,0.0824,61.5000,-37.5000,0.0000,61.4450,-37.4648,0.0685,-0.0550,0.0352,0.0685,25.4000,25.3986,-0.0014,25.4000,25.4027,0.0027,25.4000,25.4026,0.0026,25.4000,25.4046,0.0046,25.4000,25.4028,0.0028,72.8870,72.8807,-0.0063,73.7460,73.7118,-0.0342,72.3770,72.3401,-0.0369,72.0310,71.9659,-0.0651,75.0070,74.9871,-0.0199,74.0070,73.9839,-0.0231,126.0000,125.9348,-0.0652,124.0040,123.9277,-0.0763,145.2620,145.2180,-0.0440,145.7740,145.6743,-0.0997
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-south-DC-1_1-20211207T033804.csv,P509-south,Larry,20211207T1534,20.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4816,37.5162,0.0824,-0.0184,0.0162,0.0824,-63.5000,37.5000,0.0000,-63.4510,37.5162,0.0681,0.0490,0.0162,0.0681,-62.5000,-36.5000,0.0000,-62.4784,-36.4627,0.0826,0.0216,0.0373,0.0826,61.5000,-37.5000,0.0000,61.4422,-37.4645,0.0686,-0.0578,0.0355,0.0686,25.4000,25.3981,-0.0019,25.4000,25.4026,0.0026,25.4000,25.4035,0.0035,25.4000,25.4051,0.0051,25.4000,25.4028,0.0028,72.8870,72.8795,-0.0075,73.7460,73.7123,-0.0337,72.3770,72.3401,-0.0369,72.0310,71.9635,-0.0675,75.0070,74.9879,-0.0191,74.0070,73.9853,-0.0217,126.0000,125.9326,-0.0674,124.0040,123.9247,-0.0793,145.2620,145.2167,-0.0453,145.7740,145.6723,-0.1017
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-south-DC-1_1-20211207T042306.csv,P509-south,Larry,20211207T1619,20.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4821,37.5162,0.0831,-0.0179,0.0162,0.0831,-63.5000,37.5000,0.0000,-63.4513,37.5162,0.0692,0.0487,0.0162,0.0692,-62.5000,-36.5000,0.0000,-62.4784,-36.4614,0.0833,0.0216,0.0386,0.0833,61.5000,-37.5000,0.0000,61.4437,-37.4651,0.0697,-0.0563,0.0349,0.0697,25.4000,25.3997,-0.0003,25.4000,25.4028,0.0028,25.4000,25.4027,0.0027,25.4000,25.4052,0.0052,25.4000,25.4031,0.0031,72.8870,72.8799,-0.0071,73.7460,73.7125,-0.0335,72.3770,72.3394,-0.0376,72.0310,71.9650,-0.0660,75.0070,74.9885,-0.0185,74.0070,73.9839,-0.0231,126.0000,125.9334,-0.0666,124.0040,123.9261,-0.0779,145.2620,145.2164,-0.0456,145.7740,145.6741,-0.0999
