Ball Plate ID and Orientation,P509-south
Inspector,Larry
Inspection Time,20210305T1341
Temperature,19.2°C
Serial No,
Material Ref,
Date,
Inspector,
Notes,
4,Pos S0,Position Cartesian,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,0.0000,0.0500,PASS
5,Pos S1,Position Cartesian,62.5000,37.5000,0.0000,62.4828,37.5159,0.0770,-0.0172,0.0159,0.0770,,,,0.1610,0.0500,FAIL
6,Pos S2,Position Cartesian,-63.5000,37.5000,0.0000,-63.4505,37.5159,0.0705,0.0495,0.0159,0.0705,,,,0.1751,0.0500,FAIL
7,Pos S3,Position Cartesian,-62.5000,-36.5000,0.0000,-62.4803,-36.4621,0.0771,0.0197,0.0379,0.0771,,,,0.1762,0.0500,FAIL
8,Pos S4,Position Cartesian,61.5000,-37.5000,0.0000,61.4424,-37.4659,0.0709,-0.0576,0.0341,0.0709,,,,0.1950,0.0500,FAIL
9,D0,Diameter,25.4000,,,25.3996,,,-0.0004,,,25.5000,25.3000,PASS,0.0072,0.0500,PASS
10,D1,Diameter,25.4000,,,25.4030,,,0.0030,,,25.5000,25.3000,PASS,0.0081,0.0500,PASS
11,D2,Diameter,25.4000,,,25.4031,,,0.0031,,,25.5000,25.3000,PASS,0.0056,0.0500,PASS
12,D3,Diameter,25.4000,,,25.4048,,,0.0048,,,25.5000,25.3000,PASS,0.0078,0.0500,PASS
13,D4,Diameter,25.4000,,,25.4034,,,0.0034,,,25.5000,25.3000,PASS,0.0061,0.0500,PASS
14,L01,PointPointDistance,72.8870,,,72.8804,,,-0.0066,,,72.9870,72.7870,PASS,,,
15,L02,PointPointDistance,73.7460,,,73.7117,,,-0.0343,,,73.8460,73.6460,PASS,,,
16,L03,PointPointDistance,72.3770,,,72.3414,,,-0.0356,,,72.4770,72.2770,PASS,,,
17,L04,PointPointDistance,72.0310,,,71.9643,,,-0.0667,,,72.1310,71.9310,PASS,,,
18,L14,PointPointDistance,75.0070,,,74.9890,,,-0.0180,,,75.1070,74.9070,PASS,,,
19,L23,PointPointDistance,74.0070,,,73.9844,,,-0.0226,,,74.1070,73.9070,PASS,,,
20,L12,PointPointDistance,126.0000,,,125.9333,,,-0.0667,,,126.1000,125.9000,PASS,,,
21,L34,PointPointDistance,124.0040,,,123.9267,,,-0.0773,,,124.1040,123.9040,PASS,,,
22,L13,PointPointDistance,145.2620,,,145.2188,,,-0.0432,,,145.3620,145.1620,PASS,,,
23,L24,PointPointDistance,145.7740,,,145.6726,,,-0.1014,,,145.8740,145.6740,FAIL,,,
